,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Exact Core Nodes,Exact Core Relative Nodes,Exact Core Edges,Exact Core Relative Edges,Exact Core Out Edges,Tree Core Nodes,Tree Core Relative Nodes,Tree Core Edges,Tree Core Relative Edges,Tree Core Out Edges,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Nodes,Outerplanar Core Relative Nodes,Outerplanar Core Edges,Outerplanar Core Relative Edges,Outerplanar Core Out Edges,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,500,32111,0.933432,417050,0.991022,3391,5908,5.822783,0,0,0,3.563762,25.054388,0.183987,0.183987,31812,1.081384,0,0,0,22.580165,79.523584,0.986422,0.982231
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.020000,5,32111,0.933432,417050,0.991022,3391,10,3440.100000,0,0,0,2.348852,23.839478,0.000311,0.000311,30754,1.118586,0,0,0,15.471402,72.414821,0.955716,0.953785
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.020000,10,32111,0.933432,417050,0.991022,3391,25,1376.040000,0,0,0,2.743126,24.233752,0.000779,0.000779,31001,1.109674,0,0,0,17.844921,74.788340,0.962941,0.960548
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.020000,100,32111,0.933432,417050,0.991022,3391,653,52.681470,0,0,0,3.304353,24.794979,0.020336,0.020336,31303,1.098968,0,0,0,20.528796,77.472215,0.972159,0.969562
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.020000,200,32111,0.933432,417050,0.991022,3391,1252,27.476837,0,0,0,3.382318,24.872944,0.038990,0.038990,31315,1.098547,0,0,0,21.060602,78.004021,0.972533,0.969935
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.020000,300,32111,0.933432,417050,0.991022,3391,1827,18.829228,0,0,0,3.467046,24.957672,0.056896,0.056896,31324,1.098231,0,0,0,21.463205,78.406624,0.972782,0.970153
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.020000,400,32111,0.933432,417050,0.991022,3391,2294,14.996077,0,0,0,3.611931,25.102557,0.071440,0.071440,31327,1.098126,0,0,0,22.033722,78.977141,0.972875,0.970247
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.020000,500,32111,0.933432,417050,0.991022,3391,2771,12.414652,0,0,0,3.556011,25.046637,0.086294,0.086294,31333,1.097916,0,0,0,22.629597,79.573016,0.973062,0.970433
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.030000,5,32111,0.933432,417050,0.991022,3391,3,11467.000000,0,0,0,2.391569,23.882195,0.000093,0.000093,30225,1.138164,0,0,0,15.277668,72.221087,0.939709,0.938248
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.030000,10,32111,0.933432,417050,0.991022,3391,11,3127.363636,0,0,0,2.755382,24.246008,0.000343,0.000343,30514,1.127384,0,0,0,17.726845,74.670264,0.948429,0.946689
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.030000,100,32111,0.933432,417050,0.991022,3391,338,101.778107,0,0,0,3.360676,24.851302,0.010526,0.010526,30816,1.116336,0,0,0,20.612075,77.555494,0.957803,0.956016
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.030000,200,32111,0.933432,417050,0.991022,3391,692,49.712428,0,0,0,3.405137,24.895763,0.021550,0.021550,30832,1.115756,0,0,0,21.271845,78.215264,0.958301,0.956514
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.030000,300,32111,0.933432,417050,0.991022,3391,1083,31.764543,0,0,0,3.476648,24.967274,0.033727,0.033727,30843,1.115358,0,0,0,21.779415,78.722834,0.958643,0.956856
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.030000,400,32111,0.933432,417050,0.991022,3391,1440,23.889583,0,0,0,3.513615,25.004241,0.044844,0.044844,30846,1.115250,0,0,0,22.321950,79.265369,0.958737,0.956949
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.030000,500,32111,0.933432,417050,0.991022,3391,1770,19.435593,0,0,0,3.597847,25.088473,0.055121,0.055121,30854,1.114961,0,0,0,22.992542,79.935961,0.958955,0.957137
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.040000,5,32111,0.933432,417050,0.991022,3391,1,34401.000000,0,0,0,2.406598,23.897224,0.000031,0.000031,29747,1.156453,0,0,0,15.573063,72.516482,0.925290,0.924283
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.040000,10,32111,0.933432,417050,0.991022,3391,5,6880.200000,0,0,0,2.838361,24.328987,0.000156,0.000156,30092,1.143194,0,0,0,17.744214,74.687633,0.935630,0.934233
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.040000,100,32111,0.933432,417050,0.991022,3391,198,173.742424,0,0,0,3.374983,24.865609,0.006166,0.006166,30434,1.130348,0,0,0,20.563136,77.506555,0.946093,0.944505
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.040000,200,32111,0.933432,417050,0.991022,3391,463,74.300216,0,0,0,3.440658,24.931284,0.014419,0.014419,30451,1.129717,0,0,0,21.767315,78.710734,0.946560,0.944912
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.040000,300,32111,0.933432,417050,0.991022,3391,739,46.550744,0,0,0,3.508202,24.998828,0.023014,0.023014,30459,1.129420,0,0,0,21.928245,78.871664,0.946810,0.945161
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.040000,400,32111,0.933432,417050,0.991022,3391,973,35.355601,0,0,0,3.520029,25.010655,0.030301,0.030301,30464,1.129235,0,0,0,22.203804,79.147223,0.946965,0.945317
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.040000,500,32111,0.933432,417050,0.991022,3391,1248,27.564904,0,0,0,3.558867,25.049493,0.038865,0.038865,30470,1.129012,0,0,0,22.931505,79.874924,0.947152,0.945503
