,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Exact Core Nodes,Exact Core Relative Nodes,Exact Core Edges,Exact Core Relative Edges,Exact Core Out Edges,Tree Core Nodes,Tree Core Relative Nodes,Tree Core Edges,Tree Core Relative Edges,Tree Core Out Edges,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Nodes,Outerplanar Core Relative Nodes,Outerplanar Core Edges,Outerplanar Core Relative Edges,Outerplanar Core Out Edges,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.010000,400,3605,0.417342,14161,0.570387,7148,2321,3.721672,0,0,0,0.929041,3.852169,0.632178,0.624897,4024,2.146620,0,0,0,5.134104,17.623908,0.998890,0.893992
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.010000,500,3605,0.417342,14161,0.570387,7148,2445,3.532924,0,0,0,1.001467,3.924595,0.665742,0.657534,4065,2.124969,0,0,0,5.405798,17.895602,0.998890,0.884984
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.020000,5,3605,0.417342,14161,0.570387,7148,39,221.487179,0,0,0,0.587028,3.510156,0.010541,0.010538,3665,2.356889,0,0,0,2.389756,14.879560,0.981137,0.947495
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.020000,10,3605,0.417342,14161,0.570387,7148,113,76.442478,0,0,0,0.667177,3.590305,0.031068,0.031059,3744,2.307158,0,0,0,2.942863,15.432667,0.991956,0.947787
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.020000,100,3605,0.417342,14161,0.570387,7148,872,9.905963,0,0,0,0.848997,3.772125,0.241331,0.241198,3796,2.275553,0,0,0,3.776557,16.266361,0.996117,0.942520
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.020000,200,3605,0.417342,14161,0.570387,7148,1287,6.711733,0,0,0,0.906515,3.829643,0.356449,0.356252,3803,2.271365,0,0,0,4.244302,16.734106,0.996117,0.940791
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.020000,300,3605,0.417342,14161,0.570387,7148,1550,5.572903,0,0,0,0.946334,3.869462,0.429404,0.429166,3820,2.261257,0,0,0,4.515205,17.005009,0.996671,0.937630
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.020000,400,3605,0.417342,14161,0.570387,7148,1760,4.907955,0,0,0,0.987615,3.910743,0.487101,0.486561,3843,2.247723,0,0,0,4.888626,17.378430,0.997226,0.933039
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.020000,500,3605,0.417342,14161,0.570387,7148,1933,4.468702,0,0,0,1.018321,3.941449,0.534535,0.533647,3867,2.233773,0,0,0,5.210673,17.700477,0.997503,0.927761
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.030000,5,3605,0.417342,14161,0.570387,7148,8,1079.750000,0,0,0,0.612922,3.536050,0.002219,0.002219,3569,2.420286,0,0,0,2.346661,14.836465,0.965326,0.942068
