,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.020000,100,1.135843,8.447679,0.125803,0.125803,4.741249,24.607972,0.975130,0.925270
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.020000,200,1.169494,8.481330,0.211813,0.211813,5.232166,25.098889,0.976166,0.924617
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.020000,300,1.230980,8.542816,0.265699,0.265644,5.703380,25.570103,0.977202,0.921438
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.020000,400,1.259111,8.570947,0.309845,0.309780,6.195517,26.062240,0.978031,0.915777
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.020000,500,1.278853,8.590689,0.343834,0.343478,6.854455,26.721178,0.978653,0.908077
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.030000,5,0.879528,8.191364,0.001451,0.001451,3.097220,22.963943,0.922902,0.903612
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.030000,10,1.011994,8.323830,0.004974,0.004974,3.726888,23.593611,0.948601,0.921111
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.030000,100,1.127751,8.439587,0.079378,0.079378,4.592958,24.459681,0.960207,0.925489
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.030000,200,1.171561,8.483397,0.149637,0.149637,5.087159,24.953882,0.961244,0.925379
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.030000,300,1.210754,8.522590,0.200000,0.199959,5.561106,25.427829,0.962694,0.924562
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.030000,400,1.267581,8.579417,0.240622,0.240572,5.952986,25.819709,0.963523,0.922421
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.030000,500,1.405219,8.717055,0.274197,0.273913,6.273218,26.139941,0.966010,0.920237
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.040000,5,0.986802,8.298638,0.000829,0.000829,2.998531,22.865254,0.897202,0.882929
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.040000,10,1.111273,8.423109,0.001865,0.001865,3.627576,23.494299,0.932228,0.914042
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.040000,100,1.289290,8.601126,0.056995,0.056995,4.496309,24.363032,0.946736,0.922828
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.040000,200,1.327892,8.639728,0.114404,0.114404,4.930211,24.796934,0.949430,0.925081
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.040000,300,1.367811,8.679647,0.153782,0.153751,5.383378,25.250101,0.951088,0.925202
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.040000,400,1.410414,8.722250,0.196062,0.196022,5.939196,25.805919,0.951710,0.924502
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.040000,500,1.422628,8.734464,0.230052,0.229814,6.433591,26.300314,0.952746,0.922537
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.010000,5,1.269288,12.411271,0.010119,0.010106,5.921214,38.651402,0.976178,0.931784
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.010000,10,1.388516,12.530499,0.036682,0.036528,6.569237,39.299425,0.983873,0.925441
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.010000,100,1.604513,12.746496,0.170971,0.170199,8.329769,41.059957,0.988932,0.917824
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.010000,200,1.660133,12.802116,0.246653,0.245540,9.026991,41.757179,0.989248,0.915699
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.010000,300,1.727834,12.869817,0.296406,0.295068,9.770295,42.500483,0.989670,0.911111
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.010000,400,1.794892,12.936875,0.337514,0.335992,10.465105,43.195293,0.989881,0.907606
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.010000,500,1.856423,12.998406,0.368504,0.366649,10.851595,43.581783,0.989986,0.901949
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.020000,5,1.306027,12.448010,0.001581,0.001581,5.699529,38.429717,0.953937,0.938894
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.020000,10,1.460728,12.602711,0.003162,0.003162,6.949732,39.679920,0.965532,0.944622
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.020000,100,1.614906,12.756889,0.065880,0.065880,8.572519,41.302707,0.974808,0.948416
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.020000,200,1.685175,12.827158,0.123959,0.123959,9.206784,41.936972,0.975124,0.948237
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.020000,300,1.780358,12.922341,0.169495,0.169495,9.770810,42.500998,0.976283,0.947810
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.020000,400,1.740725,12.882708,0.206809,0.206809,10.239228,42.969416,0.976916,0.947164
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.020000,500,1.806387,12.948370,0.237377,0.237277,10.482810,43.212998,0.977443,0.945549
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.030000,5,1.276993,12.418976,0.000422,0.000422,5.843639,38.573827,0.932328,0.922507
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.030000,10,1.409820,12.551803,0.001265,0.001265,6.673577,39.403765,0.951091,0.938918
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.030000,100,1.615725,12.757708,0.036049,0.036049,8.223252,40.953440,0.961737,0.946179
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.030000,200,1.669908,12.811891,0.078107,0.078107,8.757891,41.488079,0.962264,0.946599
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.030000,300,1.709970,12.851953,0.114999,0.114999,9.266894,41.997082,0.963424,0.947347
