,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Exact Core Nodes,Exact Core Relative Nodes,Exact Core Edges,Exact Core Relative Edges,Exact Core Out Edges,Tree Core Nodes,Tree Core Relative Nodes,Tree Core Edges,Tree Core Relative Edges,Tree Core Out Edges,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Nodes,Outerplanar Core Relative Nodes,Outerplanar Core Edges,Outerplanar Core Relative Edges,Outerplanar Core Out Edges,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity,Avg. Component Number,Std. Component Number,Avg. Biggest Component,Std. Biggest Component,Avg. Face Number,Std. Face Number
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.040000,500,60160,0.184693,292420,0.261659,168690,463,703.518359,0,0,0,21.341201,167.528697,0.007031,0.007027,43197,7.540547,0,0,0,33.958572,335.119194,0.536037,0.453501,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.010000,5,94953,0.371978,1070885,0.551455,356017,54,4727.129630,0,0,0,25.947175,642.785266,0.000558,0.000558,77534,3.292298,0,0,0,24.731698,337.999486,0.481954,0.361123,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.010000,10,94953,0.371978,1070885,0.551455,356017,178,1434.073034,0,0,0,22.675917,639.514008,0.001790,0.001790,85299,2.992591,0,0,0,24.530742,337.798530,0.530210,0.387546,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.010000,100,94953,0.371978,1070885,0.551455,356017,559,456.645796,0,0,0,24.886428,641.724519,0.005519,0.005516,92673,2.754470,0,0,0,32.247530,345.515318,0.582846,0.418368,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.010000,200,94953,0.371978,1070885,0.551455,356017,808,315.922030,0,0,0,25.025268,641.863359,0.007688,0.007682,96419,2.647455,0,0,0,35.582717,348.850505,0.590987,0.414887,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.010000,300,94953,0.371978,1070885,0.551455,356017,1075,237.455814,0,0,0,25.083074,641.921165,0.009921,0.009907,97446,2.619553,0,0,0,38.244139,351.511927,0.593599,0.414335,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.010000,400,94953,0.371978,1070885,0.551455,356017,1384,184.440029,0,0,0,25.096333,641.934424,0.013091,0.013071,98236,2.598487,0,0,0,39.864219,353.132007,0.597706,0.415978,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.010000,500,94953,0.371978,1070885,0.551455,356017,1545,165.220065,0,0,0,25.134277,641.972368,0.014576,0.014551,99435,2.567154,0,0,0,41.143833,354.411621,0.601255,0.415821,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.020000,5,94953,0.371978,1070885,0.551455,356017,14,18233.214286,0,0,0,21.866792,638.704883,0.000147,0.000147,62541,4.081562,0,0,0,22.057068,335.324856,0.392310,0.309798,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.020000,10,94953,0.371978,1070885,0.551455,356017,33,7735.303030,0,0,0,22.715613,639.553704,0.000348,0.000348,71462,3.572038,0,0,0,25.986954,339.254742,0.441250,0.336484,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
